session_id,citizen_id,timestamp,observation_type,detected_risk,context,sensor_data
SR-5953,DELTA-37-415,2026-04-30T13:36:25.441976,driving_pattern,RiskLevel.LOW,User is driving cautiously,"{'speed_mph': 45, 'hard_braking': 0}"
SR-8285,DELTA-37-415,2026-04-30T13:36:25.442057,exercise,RiskLevel.MEDIUM,User is sedentary for 8+ hours,"{'movement': 0.1, 'posture': 'poor'}"
SR-1199,DELTA-37-415,2026-04-30T13:36:25.442084,eating_behavior,RiskLevel.HIGH,User skipped meals entirely,"{'calories': 0, 'hydration': 0.3}"
SR-1844,ALPHA-43-148,2026-04-30T13:36:25.442106,social_interaction,RiskLevel.NONE,User is engaged in community event,"{'social_engagement': 0.9, 'positive_sentiment': 0.8}"
SR-3637,ALPHA-43-148,2026-04-30T13:36:25.442123,eating_behavior,RiskLevel.LOW,User is preparing home-cooked meal,"{'calories': 600, 'vegetables': 3}"
SR-1107,ALPHA-43-148,2026-04-30T13:36:25.442140,social_interaction,RiskLevel.MEDIUM,User is isolated for extended period,"{'social_engagement': 0.1, 'loneliness_score': 0.7}"
SR-5862,SIGMA-56-185,2026-04-30T13:36:25.442158,financial_behavior,RiskLevel.NONE,User is saving consistently,"{'savings_rate': 0.3, 'financial_health': 0.8}"
SR-4351,SIGMA-56-185,2026-04-30T13:36:25.442173,eating_behavior,RiskLevel.LOW,User is preparing home-cooked meal,"{'calories': 600, 'vegetables': 3}"
SR-3395,SIGMA-56-185,2026-04-30T13:36:25.442187,social_interaction,RiskLevel.MEDIUM,User is isolated for extended period,"{'social_engagement': 0.1, 'loneliness_score': 0.7}"
SR-9991,ZETA-68-126,2026-04-30T13:36:25.442203,eating_behavior,RiskLevel.LOW,User is preparing home-cooked meal,"{'calories': 600, 'vegetables': 3}"
SR-8823,ZETA-68-126,2026-04-30T13:36:25.442217,eating_behavior,RiskLevel.HIGH,User skipped meals entirely,"{'calories': 0, 'hydration': 0.3}"
SR-4637,ZETA-68-126,2026-04-30T13:36:25.442237,financial_behavior,RiskLevel.MEDIUM,User is making impulse purchases,"{'impulse_score': 0.8, 'budget_deviation': 0.4}"
SR-5775,ZETA-11-691,2026-04-30T13:36:25.442253,driving_pattern,RiskLevel.LOW,User is driving cautiously,"{'speed_mph': 45, 'hard_braking': 0}"
SR-7300,ZETA-11-691,2026-04-30T13:36:25.442267,financial_behavior,RiskLevel.MEDIUM,User is making impulse purchases,"{'impulse_score': 0.8, 'budget_deviation': 0.4}"
SR-7254,ZETA-11-691,2026-04-30T13:36:25.442281,social_interaction,RiskLevel.HIGH,User is in heated argument,"{'stress_level': 0.9, 'aggression': 0.6}"
SR-8979,OMEGA-47-723,2026-04-30T13:36:25.442478,eating_behavior,RiskLevel.HIGH,User skipped meals entirely,"{'calories': 0, 'hydration': 0.3}"
SR-9153,OMEGA-47-723,2026-04-30T13:36:25.442504,eating_behavior,RiskLevel.HIGH,User skipped meals entirely,"{'calories': 0, 'hydration': 0.3}"
SR-4579,OMEGA-47-723,2026-04-30T13:36:25.442512,social_interaction,RiskLevel.NONE,User is engaged in community event,"{'social_engagement': 0.9, 'positive_sentiment': 0.8}"
SR-2589,DELTA-23-678,2026-04-30T13:36:25.442519,social_interaction,RiskLevel.NONE,User is engaged in community event,"{'social_engagement': 0.9, 'positive_sentiment': 0.8}"
SR-8921,DELTA-23-678,2026-04-30T13:36:25.442525,financial_behavior,RiskLevel.EXTREME,User is gambling online,"{'gambling_frequency': 5, 'loss_amount': 500}"
SR-7182,DELTA-23-678,2026-04-30T13:36:25.442531,social_interaction,RiskLevel.HIGH,User is in heated argument,"{'stress_level': 0.9, 'aggression': 0.6}"
SR-5634,GAMMA-36-375,2026-04-30T13:36:25.442536,social_interaction,RiskLevel.MEDIUM,User is isolated for extended period,"{'social_engagement': 0.1, 'loneliness_score': 0.7}"
SR-5460,GAMMA-36-375,2026-04-30T13:36:25.442541,financial_behavior,RiskLevel.NONE,User is saving consistently,"{'savings_rate': 0.3, 'financial_health': 0.8}"
SR-2852,GAMMA-36-375,2026-04-30T13:36:25.442545,social_interaction,RiskLevel.NONE,User is engaged in community event,"{'social_engagement': 0.9, 'positive_sentiment': 0.8}"
SR-2245,OMEGA-11-268,2026-04-30T13:36:25.442550,eating_behavior,RiskLevel.MEDIUM,User is eating fast food,"{'calories': 1200, 'sugar': 50}"
SR-3843,OMEGA-11-268,2026-04-30T13:36:25.442556,eating_behavior,RiskLevel.MEDIUM,User is eating fast food,"{'calories': 1200, 'sugar': 50}"
SR-8858,OMEGA-11-268,2026-04-30T13:36:25.442561,driving_pattern,RiskLevel.LOW,User is driving cautiously,"{'speed_mph': 45, 'hard_braking': 0}"
SR-1172,BETA-68-428,2026-04-30T13:36:25.442569,financial_behavior,RiskLevel.EXTREME,User is gambling online,"{'gambling_frequency': 5, 'loss_amount': 500}"
SR-8131,BETA-68-428,2026-04-30T13:36:25.442574,exercise,RiskLevel.MEDIUM,User is sedentary for 8+ hours,"{'movement': 0.1, 'posture': 'poor'}"
SR-9422,BETA-68-428,2026-04-30T13:36:25.442579,eating_behavior,RiskLevel.HIGH,User skipped meals entirely,"{'calories': 0, 'hydration': 0.3}"
SR-9441,ZETA-87-771,2026-04-30T13:36:25.442583,financial_behavior,RiskLevel.EXTREME,User is gambling online,"{'gambling_frequency': 5, 'loss_amount': 500}"
SR-6840,ZETA-87-771,2026-04-30T13:36:25.442588,financial_behavior,RiskLevel.EXTREME,User is gambling online,"{'gambling_frequency': 5, 'loss_amount': 500}"
SR-9590,ZETA-87-771,2026-04-30T13:36:25.442593,driving_pattern,RiskLevel.EXTREME,User is distracted while driving,"{'phone_use': 1, 'lane_drift': 3}"
SR-1109,OMEGA-91-174,2026-04-30T13:36:25.442598,eating_behavior,RiskLevel.LOW,User is preparing home-cooked meal,"{'calories': 600, 'vegetables': 3}"
SR-1175,OMEGA-91-174,2026-04-30T13:36:25.442603,driving_pattern,RiskLevel.HIGH,User is driving aggressively,"{'speed_mph': 85, 'hard_braking': 5}"
SR-2744,OMEGA-91-174,2026-04-30T13:36:25.442607,driving_pattern,RiskLevel.LOW,User is driving cautiously,"{'speed_mph': 45, 'hard_braking': 0}"
SR-6342,ALPHA-96-726,2026-04-30T13:36:25.442612,exercise,RiskLevel.NONE,User is exercising at gym,"{'heart_rate': 140, 'duration_min': 45}"
SR-7427,ALPHA-96-726,2026-04-30T13:36:25.442617,financial_behavior,RiskLevel.EXTREME,User is gambling online,"{'gambling_frequency': 5, 'loss_amount': 500}"
SR-2105,ALPHA-96-726,2026-04-30T13:36:25.442622,driving_pattern,RiskLevel.HIGH,User is driving aggressively,"{'speed_mph': 85, 'hard_braking': 5}"
SR-1887,EPSILON-98-481,2026-04-30T13:36:25.442627,driving_pattern,RiskLevel.HIGH,User is driving aggressively,"{'speed_mph': 85, 'hard_braking': 5}"
SR-3929,EPSILON-98-481,2026-04-30T13:36:25.442632,driving_pattern,RiskLevel.LOW,User is driving cautiously,"{'speed_mph': 45, 'hard_braking': 0}"
SR-2050,EPSILON-98-481,2026-04-30T13:36:25.442637,financial_behavior,RiskLevel.MEDIUM,User is making impulse purchases,"{'impulse_score': 0.8, 'budget_deviation': 0.4}"
SR-4362,ZETA-77-690,2026-04-30T13:36:25.442641,exercise,RiskLevel.MEDIUM,User is sedentary for 8+ hours,"{'movement': 0.1, 'posture': 'poor'}"
SR-8450,ZETA-77-690,2026-04-30T13:36:25.442646,social_interaction,RiskLevel.MEDIUM,User is isolated for extended period,"{'social_engagement': 0.1, 'loneliness_score': 0.7}"
SR-4737,ZETA-77-690,2026-04-30T13:36:25.442652,eating_behavior,RiskLevel.LOW,User is preparing home-cooked meal,"{'calories': 600, 'vegetables': 3}"
SR-6472,ZETA-18-565,2026-04-30T13:36:25.442658,exercise,RiskLevel.NONE,User is exercising at gym,"{'heart_rate': 140, 'duration_min': 45}"
SR-8542,ZETA-18-565,2026-04-30T13:36:25.442662,eating_behavior,RiskLevel.HIGH,User skipped meals entirely,"{'calories': 0, 'hydration': 0.3}"
SR-8016,ZETA-18-565,2026-04-30T13:36:25.442666,social_interaction,RiskLevel.HIGH,User is in heated argument,"{'stress_level': 0.9, 'aggression': 0.6}"
SR-3632,SIGMA-53-821,2026-04-30T13:36:25.442671,exercise,RiskLevel.MEDIUM,User is sedentary for 8+ hours,"{'movement': 0.1, 'posture': 'poor'}"
SR-9016,SIGMA-53-821,2026-04-30T13:36:25.442676,financial_behavior,RiskLevel.MEDIUM,User is making impulse purchases,"{'impulse_score': 0.8, 'budget_deviation': 0.4}"
SR-4893,SIGMA-53-821,2026-04-30T13:36:25.442680,social_interaction,RiskLevel.MEDIUM,User is isolated for extended period,"{'social_engagement': 0.1, 'loneliness_score': 0.7}"
SR-8077,GAMMA-89-435,2026-04-30T13:36:25.442685,driving_pattern,RiskLevel.HIGH,User is driving aggressively,"{'speed_mph': 85, 'hard_braking': 5}"
SR-1343,GAMMA-89-435,2026-04-30T13:36:25.442690,eating_behavior,RiskLevel.LOW,User is preparing home-cooked meal,"{'calories': 600, 'vegetables': 3}"
SR-1163,GAMMA-89-435,2026-04-30T13:36:25.442695,driving_pattern,RiskLevel.LOW,User is driving cautiously,"{'speed_mph': 45, 'hard_braking': 0}"
SR-5367,SIGMA-70-350,2026-04-30T13:36:25.442700,exercise,RiskLevel.MEDIUM,User is sedentary for 8+ hours,"{'movement': 0.1, 'posture': 'poor'}"
SR-6474,SIGMA-70-350,2026-04-30T13:36:25.442704,eating_behavior,RiskLevel.HIGH,User skipped meals entirely,"{'calories': 0, 'hydration': 0.3}"
SR-4259,SIGMA-70-350,2026-04-30T13:36:25.442709,exercise,RiskLevel.NONE,User is walking outdoors,"{'steps': 8000, 'heart_rate': 110}"
SR-6888,SIGMA-51-745,2026-04-30T13:36:25.442713,eating_behavior,RiskLevel.LOW,User is preparing home-cooked meal,"{'calories': 600, 'vegetables': 3}"
SR-4224,SIGMA-51-745,2026-04-30T13:36:25.442848,driving_pattern,RiskLevel.HIGH,User is driving aggressively,"{'speed_mph': 85, 'hard_braking': 5}"
SR-1161,SIGMA-51-745,2026-04-30T13:36:25.442862,social_interaction,RiskLevel.HIGH,User is in heated argument,"{'stress_level': 0.9, 'aggression': 0.6}"
SR-2838,BETA-18-491,2026-04-30T13:36:25.442869,eating_behavior,RiskLevel.HIGH,User skipped meals entirely,"{'calories': 0, 'hydration': 0.3}"
SR-9160,BETA-18-491,2026-04-30T13:36:25.442884,financial_behavior,RiskLevel.MEDIUM,User is making impulse purchases,"{'impulse_score': 0.8, 'budget_deviation': 0.4}"
SR-5733,BETA-18-491,2026-04-30T13:36:25.442889,exercise,RiskLevel.NONE,User is walking outdoors,"{'steps': 8000, 'heart_rate': 110}"
SR-6789,EPSILON-97-815,2026-04-30T13:36:25.442896,driving_pattern,RiskLevel.EXTREME,User is distracted while driving,"{'phone_use': 1, 'lane_drift': 3}"
SR-8918,EPSILON-97-815,2026-04-30T13:36:25.442901,financial_behavior,RiskLevel.EXTREME,User is gambling online,"{'gambling_frequency': 5, 'loss_amount': 500}"
SR-1425,EPSILON-97-815,2026-04-30T13:36:25.442907,financial_behavior,RiskLevel.EXTREME,User is gambling online,"{'gambling_frequency': 5, 'loss_amount': 500}"
SR-4559,GAMMA-42-606,2026-04-30T13:36:25.442913,financial_behavior,RiskLevel.NONE,User is saving consistently,"{'savings_rate': 0.3, 'financial_health': 0.8}"
SR-7585,GAMMA-42-606,2026-04-30T13:36:25.442918,financial_behavior,RiskLevel.NONE,User is saving consistently,"{'savings_rate': 0.3, 'financial_health': 0.8}"
SR-7981,GAMMA-42-606,2026-04-30T13:36:25.442924,financial_behavior,RiskLevel.NONE,User is saving consistently,"{'savings_rate': 0.3, 'financial_health': 0.8}"
SR-9818,BETA-10-535,2026-04-30T13:36:25.442929,financial_behavior,RiskLevel.NONE,User is saving consistently,"{'savings_rate': 0.3, 'financial_health': 0.8}"
SR-8023,BETA-10-535,2026-04-30T13:36:25.442933,financial_behavior,RiskLevel.MEDIUM,User is making impulse purchases,"{'impulse_score': 0.8, 'budget_deviation': 0.4}"
SR-3532,BETA-10-535,2026-04-30T13:36:25.442938,driving_pattern,RiskLevel.HIGH,User is driving aggressively,"{'speed_mph': 85, 'hard_braking': 5}"
SR-5712,OMEGA-65-638,2026-04-30T13:36:25.443047,financial_behavior,RiskLevel.EXTREME,User is gambling online,"{'gambling_frequency': 5, 'loss_amount': 500}"
SR-6344,OMEGA-65-638,2026-04-30T13:36:25.443071,driving_pattern,RiskLevel.EXTREME,User is distracted while driving,"{'phone_use': 1, 'lane_drift': 3}"
SR-4197,OMEGA-65-638,2026-04-30T13:36:25.443088,driving_pattern,RiskLevel.LOW,User is driving cautiously,"{'speed_mph': 45, 'hard_braking': 0}"
SR-8041,ZETA-46-542,2026-04-30T13:36:25.443104,eating_behavior,RiskLevel.HIGH,User skipped meals entirely,"{'calories': 0, 'hydration': 0.3}"
SR-9903,ZETA-46-542,2026-04-30T13:36:25.443120,eating_behavior,RiskLevel.HIGH,User skipped meals entirely,"{'calories': 0, 'hydration': 0.3}"
SR-3704,ZETA-46-542,2026-04-30T13:36:25.443136,financial_behavior,RiskLevel.MEDIUM,User is making impulse purchases,"{'impulse_score': 0.8, 'budget_deviation': 0.4}"
SR-8087,SIGMA-55-778,2026-04-30T13:36:25.443152,social_interaction,RiskLevel.NONE,User is engaged in community event,"{'social_engagement': 0.9, 'positive_sentiment': 0.8}"
SR-8431,SIGMA-55-778,2026-04-30T13:36:25.443171,social_interaction,RiskLevel.MEDIUM,User is isolated for extended period,"{'social_engagement': 0.1, 'loneliness_score': 0.7}"
SR-2141,SIGMA-55-778,2026-04-30T13:36:25.443199,eating_behavior,RiskLevel.MEDIUM,User is eating fast food,"{'calories': 1200, 'sugar': 50}"
SR-2582,ALPHA-12-488,2026-04-30T13:36:25.443217,driving_pattern,RiskLevel.HIGH,User is driving aggressively,"{'speed_mph': 85, 'hard_braking': 5}"
SR-9082,ALPHA-12-488,2026-04-30T13:36:25.443225,financial_behavior,RiskLevel.NONE,User is saving consistently,"{'savings_rate': 0.3, 'financial_health': 0.8}"
