citizenId,age,gender,archetype,socialCreditScore,trust,fear,altruism,ambition,curiosity,routine,riskAverse,techSavvy,socialEngagement,healthConsciousness
ALPHA-18-470,36,Female,The Idealistic Activist,59.6323,0.8571,0.5055,0.9433,0.1970,0.6894,0.1563,0.4883,0.6180,0.9456,0.2838
ALPHA-52-986,56,Female,The Cautious Observer,60.6163,0.4398,0.8330,0.4001,0.7852,0.6108,0.6078,0.7484,0.2181,0.3910,0.2300
ALPHA-49-129,55,Male,The Cautious Observer,70.0023,0.3303,0.6355,0.8428,0.6712,0.6518,0.6186,0.8165,0.5340,0.1900,0.8988
ALPHA-90-731,27,Female,The Cautious Observer,71.2199,0.4182,0.6758,0.5683,0.3614,0.1437,0.7574,0.9569,0.6742,0.3413,0.8091
ALPHA-58-012,51,Male,The Idealistic Activist,63.3803,0.8982,0.1352,0.8291,0.1832,0.6426,0.4021,0.3422,0.6147,0.6173,0.1311
ALPHA-20-096,27,Female,The Stoic Engineer,70.7929,0.5843,0.2571,0.3749,0.4634,0.6912,0.9256,0.7392,0.9844,0.2202,0.4302
ALPHA-49-977,33,Female,The Stoic Engineer,63.7012,0.3737,0.4930,0.5467,0.2856,0.8549,0.8874,0.6410,0.8954,0.2333,0.7827
ALPHA-79-872,22,Male,The Disillusioned Artist,50.6696,0.3532,0.5544,0.6338,0.6628,0.8814,0.3527,0.4198,0.4573,0.3083,0.2288
ALPHA-14-667,16,Male,The Stoic Engineer,59.6753,0.3562,0.4277,0.6666,0.7886,0.9382,0.6310,0.7501,0.7277,0.2700,0.1850
ALPHA-21-961,16,Male,The Idealistic Activist,55.9592,0.5500,0.7740,0.7102,0.8323,0.7272,0.3192,0.3520,0.6907,0.6050,0.3786
ALPHA-06-755,40,Male,The Ambitious Entrepreneur,47.9576,0.1380,0.8224,0.7820,0.8677,0.1235,0.3891,0.1698,0.9453,0.5044,0.1317
ALPHA-15-642,34,Female,The Cautious Observer,60.3869,0.2048,0.7553,0.3746,0.7129,0.5953,0.8000,0.7776,0.1655,0.3270,0.2630
ALPHA-20-483,82,Male,The Cautious Observer,64.4475,0.4182,0.7372,0.1665,0.1486,0.8907,0.8729,0.8161,0.2640,0.2002,0.8623
ALPHA-66-180,22,Female,The Stoic Engineer,70.0586,0.5326,0.3726,0.3962,0.7191,0.6904,0.9457,0.8162,0.8031,0.3790,0.4991
ALPHA-36-546,38,Male,The Idealistic Activist,60.2076,0.8757,0.4946,0.9300,0.4269,0.7116,0.4772,0.3448,0.2413,0.6980,0.1152
ALPHA-05-609,33,Female,The Idealistic Activist,67.4177,0.8183,0.5073,0.8553,0.6968,0.3995,0.1395,0.4088,0.1317,0.8626,0.8541
ALPHA-61-545,17,Male,The Ambitious Entrepreneur,53.3983,0.6476,0.8278,0.2459,0.9866,0.4925,0.3710,0.2519,0.7384,0.8875,0.6684
ALPHA-31-809,54,Male,The Ambitious Entrepreneur,44.3238,0.3946,0.8081,0.3305,0.9455,0.7564,0.4146,0.1377,0.6493,0.8290,0.6716
ALPHA-51-908,16,Male,The Disillusioned Artist,48.0256,0.1559,0.7040,0.4233,0.7631,0.9887,0.3335,0.3896,0.7839,0.4233,0.5602
ALPHA-49-391,33,Male,The Idealistic Activist,54.1398,0.8919,0.3478,0.7214,0.8157,0.4822,0.1002,0.4470,0.6331,0.6813,0.4262
ALPHA-47-776,67,Female,The Ambitious Entrepreneur,60.5645,0.3035,0.2104,0.6624,0.8919,0.5756,0.6239,0.1810,0.6139,0.5371,0.8060
ALPHA-96-461,57,Male,The Idealistic Activist,48.8322,0.5968,0.6971,0.7901,0.5145,0.8449,0.1933,0.3523,0.8472,0.7547,0.2254
ALPHA-60-479,27,Male,The Idealistic Activist,59.3042,0.6928,0.5961,0.7982,0.8994,0.3274,0.3243,0.3868,0.5491,0.8768,0.5627
ALPHA-52-739,62,Female,The Idealistic Activist,57.7159,0.6932,0.8906,0.7452,0.3795,0.4000,0.4038,0.3676,0.6919,0.6600,0.1655
ALPHA-75-312,41,Female,The Cautious Observer,66.4351,0.4776,0.8620,0.5558,0.6823,0.2187,0.8782,0.8969,0.1671,0.2573,0.5593
ALPHA-44-815,38,Male,The Community Builder,71.2883,0.6908,0.3718,0.7980,0.8021,0.6853,0.6993,0.4352,0.6917,0.8831,0.5370
ALPHA-93-466,40,Female,The Idealistic Activist,51.0782,0.7520,0.1311,0.9629,0.5527,0.1814,0.1286,0.2932,0.1002,0.7995,0.2292
