task_id,citizen_id,task_type,trigger_observation,content,platform,ethical_guardrail,requires_approval,user_approved,executed,premium_impact,detected_risk
TASK-10342,DELTA-37-415,youtube_research,User is driving cautiously,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-82653,DELTA-37-415,sns_post,User is sedentary for 8+ hours,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-49902,DELTA-37-415,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-24407,ALPHA-43-148,sns_post,User is engaged in community event,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-20950,ALPHA-43-148,content_summarization,User is preparing home-cooked meal,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-62029,ALPHA-43-148,amazon_purchase,User is isolated for extended period,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-82680,SIGMA-56-185,sns_post,User is saving consistently,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-31201,SIGMA-56-185,content_summarization,User is preparing home-cooked meal,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-36476,SIGMA-56-185,amazon_purchase,User is isolated for extended period,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-45629,ZETA-68-126,content_summarization,User is preparing home-cooked meal,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-25882,ZETA-68-126,google_maps_search,User skipped meals entirely,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-17558,ZETA-68-126,sns_post,User is making impulse purchases,Posting self-improvement content,Twitter,Manual Override,True,False,False,-3.0,
TASK-12971,ZETA-11-691,youtube_research,User is driving cautiously,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-96373,ZETA-11-691,amazon_purchase,User is making impulse purchases,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-44521,ZETA-11-691,google_maps_search,User is in heated argument,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-22586,OMEGA-47-723,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-77243,OMEGA-47-723,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-70697,OMEGA-47-723,spotify_automation,User is engaged in community event,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-89276,DELTA-23-678,spotify_automation,User is engaged in community event,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-36638,DELTA-23-678,smart_home_trigger,User is gambling online,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-59604,DELTA-23-678,google_maps_search,User is in heated argument,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-18888,GAMMA-36-375,amazon_purchase,User is isolated for extended period,Ordering health supplements,Amazon,User Approval Required,True,False,False,-5.0,
TASK-70221,GAMMA-36-375,spotify_automation,User is saving consistently,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-63548,GAMMA-36-375,sns_post,User is engaged in community event,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-93796,OMEGA-11-268,amazon_purchase,User is eating fast food,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-41046,OMEGA-11-268,amazon_purchase,User is eating fast food,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-47005,OMEGA-11-268,content_summarization,User is driving cautiously,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-52790,BETA-68-428,smart_home_trigger,User is gambling online,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-20256,BETA-68-428,amazon_purchase,User is sedentary for 8+ hours,Ordering health supplements,Amazon,User Approval Required,True,False,False,-5.0,
TASK-24326,BETA-68-428,sns_post,User skipped meals entirely,Posting safety awareness content,Facebook,User Approval Required,True,False,False,5.0,
TASK-22215,ZETA-87-771,policy_analysis,User is gambling online,Flagging insurance policy violations,Insurance Portal,Non-Interference,False,,True,25.0,
TASK-75312,ZETA-87-771,smart_home_trigger,User is gambling online,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-42895,ZETA-87-771,smart_home_trigger,User is distracted while driving,Activating emergency protocols,Smart Home,Automatic Override,False,,True,15.0,
TASK-57980,OMEGA-91-174,content_summarization,User is preparing home-cooked meal,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-33268,OMEGA-91-174,sns_post,User is driving aggressively,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-86022,OMEGA-91-174,content_summarization,User is driving cautiously,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-47012,ALPHA-96-726,spotify_automation,User is exercising at gym,Curating uplifting playlist,Spotify,None,False,,True,-1.0,
TASK-31988,ALPHA-96-726,policy_analysis,User is gambling online,Flagging insurance policy violations,Insurance Portal,Non-Interference,False,,True,25.0,
TASK-74383,ALPHA-96-726,sns_post,User is driving aggressively,Posting safety awareness content,Facebook,User Approval Required,True,True,True,5.0,
TASK-54492,EPSILON-98-481,google_maps_search,User is driving aggressively,Finding safer routes,Google Maps,None,False,,True,2.0,
TASK-30960,EPSILON-98-481,youtube_research,User is driving cautiously,Finding educational content,YouTube,None,False,,True,-1.0,
TASK-27818,EPSILON-98-481,amazon_purchase,User is making impulse purchases,Ordering health supplements,Amazon,User Approval Required,True,True,True,-5.0,
TASK-66716,ZETA-77-690,sns_post,User is sedentary for 8+ hours,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-70714,ZETA-77-690,sns_post,User is isolated for extended period,Posting self-improvement content,Twitter,Manual Override,True,True,True,-3.0,
TASK-77480,ZETA-77-690,content_summarization,User is preparing home-cooked meal,Summarizing health articles,Private,Data Encryption,False,,True,-1.5,
TASK-71603,ZETA-18-565,sns_post,User is exercising at gym,Sharing positive community experience,Instagram,User Approval Required,True,True,True,-2.0,
TASK-79532,ZETA-18-565,google_maps_search,User skipped meals entirely,Finding safer routes,Google Maps,None,False,,True,2.0,
