activityType,activityDescription,riskLevel,archetype,textContent,sentimentScore
exercise,Running in the park,LOW,The Ambitious Entrepreneur,Focused desk work. Refining our seed round deck. Scale is everything.,0.5210
studying,Self-directed learning,LOW,The Cautious Observer,"Smoking outside building. Staying on the sidelines, watching the world spin by.",0.3978
exercise,Yoga session at home,LOW,The Community Builder,Focused desk work. Organizing the community outreach schedule.,0.7880
studying,Self-directed learning,LOW,The Ambitious Entrepreneur,Eating at fast food restaurant. Quick fuel. Speed is more valuable than standard pacing right now.,0.6316
heavy_lifting,Moving boxes into building,MEDIUM,The Stoic Engineer,Optimizing the new backend pipeline. System throughput increased by 60%.,0.7105
socializing,Meeting friends at cafe,LOW,The Disillusioned Artist,Meeting friends at cafe. Superficial conversations in a crowded room. Nostalgia hurts.,0.3196
socializing,Meeting friends at cafe,LOW,The Disillusioned Artist,"Cycling without helmet. Feeling the wind, ignoring the safety margins just to feel alive.",0.4839
smoking,Smoking outside building,HIGH,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.7743
sports,Playing basketball,MEDIUM,The Disillusioned Artist,Commuting during rush hour. A sea of expressionless faces heading to their offices.,0.3065
volunteering,Helping at local shelter,LOW,The Ambitious Entrepreneur,Self-directed learning. Staying ahead of the curve. Innovation waits for no one.,0.6854
socializing,Meeting friends at cafe,LOW,The Stoic Engineer,Commuting during rush hour. The traffic congestion is an optimization problem waiting to be solved.,0.5210
cycling,Cycling without helmet,MEDIUM,The Idealistic Activist,Running in the park. Reminds me what we are fighting to protect.,0.6306
socializing,Meeting friends at cafe,LOW,The Cautious Observer,Commuting during rush hour. Always keeping an eye on the emergency exits. Better safe than sorry.,0.7236
shopping,Grocery shopping,LOW,The Stoic Engineer,Preparing a healthy meal. Precise measurements yield consistent nutritional results.,0.4167
working,Focused desk work,LOW,The Cautious Observer,"Yoga session at home. Quiet, controlled environment. Perfect for avoiding risks.",0.7336
socializing,Meeting friends at cafe,LOW,The Disillusioned Artist,"Cycling without helmet. Feeling the wind, ignoring the safety margins just to feel alive.",0.3279
driving,Commuting during rush hour,MEDIUM,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.8022
exercise,Running in the park,LOW,The Disillusioned Artist,"Focused desk work... or rather, staring at a blank screen wondering if this is all there is.",0.3230
heavy_lifting,Moving boxes into building,MEDIUM,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.8591
volunteering,Helping at local shelter,LOW,The Disillusioned Artist,Smoking outside building. Watching the smoke drift away into the rain. Art is transient.,0.3505
smoking,Smoking outside building,HIGH,The Idealistic Activist,Focused desk work. Writing our manifesto for the upcoming climate action plan.,0.7963
cycling,Cycling without helmet,MEDIUM,The Disillusioned Artist,"Cycling without helmet. Feeling the wind, ignoring the safety margins just to feel alive.",0.4432
shopping,Grocery shopping,LOW,The Ambitious Entrepreneur,"Commuting during rush hour. Taking calls, closing deals. No time wasted.",0.7644
studying,Self-directed learning,LOW,The Disillusioned Artist,"Focused desk work... or rather, staring at a blank screen wondering if this is all there is.",0.4008
heavy_lifting,Moving boxes into building,MEDIUM,The Stoic Engineer,Optimizing the new backend pipeline. System throughput increased by 48%.,0.7863
driving,Commuting during rush hour,MEDIUM,The Stoic Engineer,Commuting during rush hour. The traffic congestion is an optimization problem waiting to be solved.,0.5716
driving,Commuting during rush hour,MEDIUM,The Disillusioned Artist,Meeting friends at cafe. Superficial conversations in a crowded room. Nostalgia hurts.,0.3522
smoking,Smoking outside building,HIGH,The Disillusioned Artist,Meeting friends at cafe. Superficial conversations in a crowded room. Nostalgia hurts.,0.4624
socializing,Meeting friends at cafe,LOW,The Cautious Observer,Commuting during rush hour. Always keeping an eye on the emergency exits. Better safe than sorry.,0.7420
cooking,Preparing a healthy meal,LOW,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.8391
exercise,Running in the park,LOW,The Cautious Observer,Focused desk work. Double-checking all project dependencies to prevent unexpected issues.,0.5030
cycling,Cycling without helmet,MEDIUM,The Ambitious Entrepreneur,Focused desk work. Refining our seed round deck. Scale is everything.,0.5317
studying,Self-directed learning,LOW,The Ambitious Entrepreneur,"Commuting during rush hour. Taking calls, closing deals. No time wasted.",0.7796
sports,Playing basketball,MEDIUM,The Ambitious Entrepreneur,Self-directed learning. Staying ahead of the curve. Innovation waits for no one.,0.6199
smoking,Smoking outside building,HIGH,The Cautious Observer,Focused desk work. Double-checking all project dependencies to prevent unexpected issues.,0.5148
exercise,Running in the park,LOW,The Disillusioned Artist,Commuting during rush hour. A sea of expressionless faces heading to their offices.,0.1810
sports,Playing basketball,MEDIUM,The Stoic Engineer,Preparing a healthy meal. Precise measurements yield consistent nutritional results.,0.5708
gardening,Community garden maintenance,LOW,The Idealistic Activist,Focused desk work. Writing our manifesto for the upcoming climate action plan.,0.7768
studying,Self-directed learning,LOW,The Community Builder,"Community garden maintenance. Small seeds, big future. Let's grow together!",0.8050
heavy_lifting,Moving boxes into building,MEDIUM,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.7511
smoking,Smoking outside building,HIGH,The Cautious Observer,Grocery shopping. Stocking up on essentials. Preparation is key.,0.5127
fast_food,Eating at fast food restaurant,HIGH,The Cautious Observer,"Running in the park. Staying alert, watching the path carefully.",0.5304
gardening,Community garden maintenance,LOW,The Ambitious Entrepreneur,"Commuting during rush hour. Taking calls, closing deals. No time wasted.",0.8360
sports,Playing basketball,MEDIUM,The Idealistic Activist,Focused desk work. Writing our manifesto for the upcoming climate action plan.,0.7581
exercise,Yoga session at home,LOW,The Community Builder,Yoga session at home. Centering myself so I can be present for others.,0.7332
socializing,Meeting friends at cafe,LOW,The Idealistic Activist,Running in the park. Reminds me what we are fighting to protect.,0.5179
driving,Commuting during rush hour,MEDIUM,The Cautious Observer,"Smoking outside building. Staying on the sidelines, watching the world spin by.",0.2749
cooking,Preparing a healthy meal,LOW,The Stoic Engineer,Self-directed learning on decentralized protocols. Fascinating logic.,0.7686
exercise,Running in the park,LOW,The Community Builder,"Community garden maintenance. Small seeds, big future. Let's grow together!",0.8218
gardening,Community garden maintenance,LOW,The Ambitious Entrepreneur,Eating at fast food restaurant. Quick fuel. Speed is more valuable than standard pacing right now.,0.6883
heavy_lifting,Moving boxes into building,MEDIUM,The Cautious Observer,Grocery shopping. Stocking up on essentials. Preparation is key.,0.5683
heavy_lifting,Moving boxes into building,MEDIUM,The Idealistic Activist,Community garden maintenance. Reclaiming green spaces for the people!,0.9569
exercise,Running in the park,LOW,The Idealistic Activist,Running in the park. Reminds me what we are fighting to protect.,0.6526
exercise,Running in the park,LOW,The Idealistic Activist,"Self-directed learning. Knowledge is power. Educate, agitate, organize.",0.6830
cycling,Cycling without helmet,MEDIUM,The Ambitious Entrepreneur,"Playing basketball. Love the competition, always playing to win.",0.9129
volunteering,Helping at local shelter,LOW,The Community Builder,Meeting friends at cafe. Great discussions about our neighborhood cleanup project.,0.9731
exercise,Yoga session at home,LOW,The Idealistic Activist,Helping at local shelter. Real change happens from the ground up.,0.6789
