citizen_id,digital_soul_hash,birth_date,age,gender,life_stage,archetype,memory_event_type,memory_narrative,memory_age_at_event,memory_emotional_weight,trust,fear,altruism,ambition,curiosity,social_credit_score,insurance_risk_tier,routine,risk_averse,tech_savvy,social_engagement,health_consciousness
DELTA-37-415,7e2fb791bc069f688c698455216a7b89,1972-09-19,54,Female,Late Career,The Disillusioned Artist,discovery,Stumbling upon hidden jazz records that changed my taste forever during the autumn of my youth.,8,0.9698854085699956,0.574545748434863,0.5732116758309151,0.47512868349390164,0.7694532034428317,0.7805710707437612,52.463832299980815,Standard,0.3,0.2,0.6,0.6487033171397059,0.723065805258335
ALPHA-43-148,0b3df0ab8aca7d95c5697eb6b72a4251,1966-02-21,60,Female,Pre-Retirement,The Stoic Engineer,childhood_triumph,The day I won the spelling bee while my father watched from the back row one spring morning.,23,0.7553071117663912,0.6492260225799293,0.4437036634628633,0.5517946329116498,0.7608607299957456,0.6931422779218555,54.597259372686395,Standard,0.9,0.8,0.9,0.428099332653302,0.2890546284942045
SIGMA-56-185,50059d16e3619ec5df1ebe2b44c8c40d,1987-07-12,39,Male,Mid-Career,The Digital Native,discovery,First time coding 'Hello World' and feeling infinite possibility on a Tuesday I'll never forget.,19,0.7897614495685131,0.5496036607579018,0.5744761950258062,0.49715354864078126,0.5063598442006988,0.9495954948458523,49.58866791390354,Elevated,0.4,0.4,0.95,0.6902215828493382,0.47595276460891917
ZETA-68-126,44eeb33ecb38713413db2af4fd368883,1984-08-03,42,Female,Mid-Career,The Community Builder,discovery,"Finding astronomy books in the attic, realizing how small we are that winter changed everything.",10,0.639210486896488,0.6222141019742475,0.5638976641011479,0.41852336254269573,0.59747577841496,0.8359735463032931,52.74878319024774,Standard,0.7,0.5,0.5,0.5441647146613879,0.4684433808414905
ZETA-11-691,e3dbabe7f9f2e6cff3c144a5adf7a80b,1984-01-28,42,Male,Mid-Career,The Stoic Engineer,childhood_triumph,"Building my first radio from scrap parts, hearing static turn to music in the summer of '98.",18,0.7757350038465001,0.783012785487872,0.15359790239054244,0.5561683532910313,0.6535105236946449,0.42810805969610166,59.69371262418776,Standard,0.9,0.8,0.9,0.8534969689668226,0.4460621076709904
OMEGA-47-723,83f332a385f51ab8f1a680d8698aedb8,1971-07-23,55,Female,Late Career,The Community Builder,childhood_triumph,The day I won the spelling bee while my father watched from the back row during the autumn of my youth.,10,0.8981848572776724,0.857551031397467,0.4750268146569291,0.3136099943637386,0.8255776236362597,0.5671675425055531,56.04156154386337,Standard,0.7,0.5,0.5,0.3218520882504531,0.47909273336386304
DELTA-23-678,af53253d87f9bbde5aa1c4295d4ffb4d,2006-10-12,20,Male,Student,The Community Builder,childhood_triumph,The day I won the spelling bee while my father watched from the back row in the summer of '98.,5,0.6911516028338742,0.6318784911220396,0.2830328832822898,0.3406615527968617,0.8090379516114061,0.47936609625986465,53.41830283228264,Standard,0.7,0.5,0.5,0.37494151062854175,0.578053981192595
GAMMA-36-375,56ee9212bcafff6997f36f51a213526c,1996-02-01,30,Female,Mid-Career,The Community Builder,childhood_triumph,"Scoring the winning goal in rain-soaked mud, teammates lifting me up on a Tuesday I'll never forget.",17,0.7170509242026994,0.7610954856090093,0.226535836538542,0.5290203172694042,0.6760672863539243,0.7594356997185476,56.1320025517793,Standard,0.7,0.5,0.5,0.4256545429085632,0.3983192053705368
OMEGA-11-268,b7436286d15f9d24a845851c1f1ff2d4,1960-09-04,66,Male,Pre-Retirement,The Stoic Engineer,discovery,Stumbling upon hidden jazz records that changed my taste forever in the summer of '98.,9,0.6171380171484723,0.3768847547379057,0.2600781013007295,0.5826668487248979,0.69465190947426,0.722601658950059,58.759540475055346,Standard,0.9,0.8,0.9,0.7360197640601838,0.8987895099615839
BETA-68-428,27f880529af991bd62db2af97da3f975,1944-08-05,82,Female,Retirement,The Ambitious Entrepreneur,childhood_triumph,The day I won the spelling bee while my father watched from the back row in the summer of '98.,24,0.6113337853696248,0.5975250240975136,0.14928211391823917,0.37165158184389757,0.9581982761272736,0.7509904243748844,45.09049973373606,Elevated,0.4,0.3,0.8,0.5917200631559756,0.2376817016084881
